Date,Buy and Hold,A2C,A2C + GP,Buy and Hold Drawdown,A2C Drawdown,A2C + GP Drawdown
2015-06-02,49.799252,1057.4296790000028,1086.477070000004,-0.029777888664444307,-0.019690392594977846,-0.028083321369141934
2015-06-03,50.047485,1031.445599000003,1062.2404300000037,-0.02494164844615432,-0.04377941124978746,-0.04976439987544856
2015-06-04,49.488945,1031.6197590000031,1063.052618000004,-0.03582349578927024,-0.04361795302271454,-0.04903785065947275
2015-06-05,49.524391,1022.141328000003,1047.0314930000036,-0.03513291326890622,-0.052405106586640215,-0.06336967507425784
2015-06-08,49.160908,1021.4696780000031,1046.200255000004,-0.042214530552928564,-0.05302777205640097,-0.06411326561879771
2015-06-09,49.152042,1045.021637000003,1059.6291040000042,-0.04238726385500913,-0.031193495849265118,-0.052100382256320965
2015-06-10,49.639656,1060.7977460000031,1065.1917610000041,-0.032887243963208745,-0.016567964215999043,-0.047124263325617144
2015-06-11,49.923363,1045.8539840000033,1059.1606990000037,-0.02735987570995313,-0.030421853273877364,-0.05251939766347968
2015-06-12,49.630791,1028.3862980000033,1034.192575000004,-0.03305995778262494,-0.04661559243687097,-0.07485483098258605
2015-06-15,49.2141,1028.813636000003,1035.4179250000036,-0.04117820867110267,-0.04621942089437647,-0.07375868442317457
2015-06-16,49.258434,1031.058170000003,1040.0561170000037,-0.04031446423004259,-0.044138584420760574,-0.06960955298914218
2015-06-17,49.391415,1070.0518560000028,1050.7266590000036,-0.03772364004281359,-0.007988771555583307,-0.060064135026634435
2015-06-18,49.887901,1056.7088720000029,1046.1080590000033,-0.028050769952946752,-0.020358629964533193,-0.06419574028170405
2015-06-19,49.645557,1072.1913700000027,1052.3050770000032,-0.032772276760910546,-0.006005295802036348,-0.058652148688026484
2015-06-22,49.94849,1068.8075590000028,1046.6759460000035,-0.026870334802962748,-0.009142319945409816,-0.06368773246256265
2015-06-23,49.82375,1056.6550940000027,1026.1839550000034,-0.029300602353326766,-0.020408485847259183,-0.0820190055112
2015-06-24,49.360443,1050.4970420000027,1013.1297250000033,-0.03832705712289919,-0.026117421068567404,-0.0936967704765328
2015-06-25,48.977322,1049.1624040000029,1016.6987260000033,-0.04579127496932356,-0.02735472174188025,-0.09050409233013601
2015-06-26,49.06641,997.1117340000028,998.9331440000035,-0.04405560336817871,-0.07560925146259212,-0.10639643458765269
2015-06-29,48.139786,1003.1189980000031,976.4110450000039,-0.06210870773396704,-0.07004010702644592,-0.12654375684625763
2015-06-30,48.166527,1016.1336900000027,993.5152910000038,-0.061587721806724116,-0.05797459774635616,-0.11124301795187397
2015-07-01,48.407089,1015.2653300000029,991.1322990000037,-0.0569009331066227,-0.058779626834901344,-0.11337474234237943
2015-07-02,48.317993,1008.9604530000029,981.6465350000038,-0.0586367605690824,-0.06462467886942724,-0.12186030774980772
2015-07-06,48.130882,1039.025014000003,990.2956570000035,-0.06228218137729269,-0.036752775350900824,-0.1141231670779731
2015-07-07,48.522915,988.8490140000033,972.4266140000036,-0.054644334026227925,-0.0832693578130751,-0.13010806119347595
2015-07-08,47.649754,998.5875000000033,956.2798850000027,-0.0716558367081529,-0.07424111548455681,-0.1445522456624896
2015-07-09,47.765575,1020.2717050000031,986.4463930000029,-0.06939933504107987,-0.05413837493112117,-0.11756655671348004
2015-07-10,48.264534,1036.8222760000028,1012.0849600000024,-0.05967828432228839,-0.03879486407498345,-0.09463137329217308
2015-07-13,48.799122,1038.4070290000031,1015.9416610000028,-0.049263085755557934,-0.03732568969666128,-0.09118133082934166
2015-07-14,48.932766,1024.123378000003,1011.1344580000028,-0.046659344561868266,-0.05056761072668425,-0.09548165239366535
2015-07-15,48.727848,1038.4732670000033,1017.2429670000029,-0.05065169317406548,-0.03726428254206282,-0.09001723722780575
2015-07-16,48.950588,1038.518710000003,1012.0077700000029,-0.04631212451791611,-0.03722215377418936,-0.09470042421878211
2015-07-17,48.932766,1038.820600000003,1012.4610790000031,-0.046659344561868266,-0.03694228110439701,-0.09429491305813364
2015-07-20,48.941673,1022.0418000000028,986.7457190000027,-0.046485812470549503,-0.05249737584722902,-0.11729879226655271
2015-07-21,48.415993,1017.8323680000028,978.9012620000029,-0.05672745946329705,-0.05639980710414305,-0.12431611348171878
2015-07-22,48.202168,996.3086420000027,966.5440080000026,-0.060893340166812915,-0.0763537726528567,-0.13537039303929665
2015-07-23,47.75666,963.7609780000025,957.0722080000028,-0.06957302299371337,-0.10652768241862431,-0.14384346683979166
